NO3_N_py,NH4_N,SRP,DP,bulk_NO3_N_py,bulk_NH4_N,bulk_SRP,bulk_DP,NO3_rate,NH4_rate,SRP_rate,DP_rate,rock_ID
366.51,185.79,92.12,94.72,387.33,416.94,320.3,323.82,7.4305325560685995,82.49604228315357,81.43606717789307,81.76440963474144,81
368.25,161.28,85.29,88.81,387.33,416.94,320.3,323.82,5.469265460309269,73.28471737854659,67.36541277920767,67.36541277920767,82
362.18,131.73,105.54,109.34,387.33,416.94,320.3,323.82,7.783073471400595,88.26283836096088,66.46094865677907,66.374298137017945,83
371.72,182.94,101.68,105.3,387.33,416.94,320.3,323.82,7.440221593230243,111.53182913618717,104.2012328450993,104.15356967025478,84
400.34,134.79,76.42,80.11,387.33,416.94,320.3,323.82,-3.24860020651199,70.45292454015053,60.89689610792809,60.85444706602901,85
402.94,120.79,63.68,67.97,387.33,416.94,320.3,323.82,-8.007633719802518,151.9193290275153,131.6411893129866,131.24619392770487,86
391.66,135.67,89.84,92.55,387.33,416.94,320.3,323.82,-1.1213873676887356,72.84356233482855,59.684741976337996,59.894516518561524,87
388.19,192.14,133.3,136.4,387.33,416.94,320.3,323.82,-0.6602600604226657,172.58890881745688,143.56817592911224,143.89062851676053,88
377.79,124.94,72.1,75.75,387.33,416.94,320.3,323.82,3.53255088901163,108.12419911859537,91.90556925080608,91.8574317648971,89
402.94,163.25,81.2,85.39,387.33,416.94,320.3,323.82,-5.017215340224294,81.53858806287637,76.84921126506265,76.63386634014591,90
376.05,147.71,76.19,80.11,387.33,416.94,320.3,323.82,3.860356916389706,92.13864296095772,83.54181975708276,83.40492766784907,91
382.99,130.63,88.93,92.86,387.33,416.94,320.3,323.82,1.3072918775170501,86.2421054036656,69.69311559933678,69.56961567542386,92
376.05,125.6,90.07,97.52,387.33,416.94,320.3,323.82,3.7131785610634522,95.904028544346545,75.78768618028731,74.49399896885296,93
358.71,51.89,44.79,51.18,387.33,416.94,320.3,323.82,4.300236353881704,54.84980017416198,41.39616065191992,40.96493499379132,94
392.53,162.57,85.52,89.44,387.33,416.94,320.3,323.82,-1.948175562078177,95.29950340881288,87.9601266278299,87.8102669692085,95
398.6,158.87,54.09,58.95,387.33,416.94,320.3,323.82,-3.380630306101942,77.41253443617792,79.85426741680524,79.4523113733113,96
